name,description
html-email,HTML used to format emails.
oracle-apex,"Oracle Application Express (Oracle APEX) is a rapid Web application development tool that lets you share data and create applications. Using only a Web browser and limited programming experience, you can develop and deploy applications that are fast and secure."
dbi,"DBI is a database access module for the Perl programming language. It defines a set of methods, variables, and conventions that provide a consistent database interface, independent of the actual database being used. For the equivalent R package, use the tag r-dbi."
restsharp,"RestSharp is a simple to use REST client library for .NET
"
ghci,GHCi is the interactive environment (REPL) for the Glasgow Haskell Compiler.
filenames,Filenames are metadata about a file; a string used to uniquely identify a file stored on the file system of a computer.
h2o,"Use this tag for questions about the H2O in-memory machine learning platform. Where relevant, add language tags like [r], [python], [scala], or [java]."
uikit,UIKit (not to be confused with the front-end framework GetUIKit) is the object-oriented framework that is responsible for most of the iOS user interface.
alert,An alert is usually a notification message to draw one&#39;s attention.
segue,"In iOS and Mac OSX, segue is a configurable object which specifies a transition from one scene to another."
vi,vi is a family of text mode-oriented text editors.  For general usage/setup questions please use https://vi.stackexchange.com/ instead.
software-design,"Software design is the activity of deciding what properties, elements, responsibilities, interfaces, relationships and interactions are required in order to create an effective piece of software."
proguard,"ProGuard is a tool to shrink, optimize, obfuscate, and preverify Java classes. 
It is included in the Android SDK."
lotus-domino,"Domino is the server component of HCL Software&#39;s collaboration offerings. A typical Domino server supports a variety of applications and protocols that clients can use to access those applications. Applications out-of-the-box include E-mail, Calendaring and many others. Custom applications can be created using the RAD development tool Domino Designer. Protocols supported are include HTTP, HTTPS, SMTP, POP3, IMAP, as well as the RPC protocol for Notes."
polygon,"For issues relating to the creation, manipulation and rendering of polygons in graphical user interfaces."
match,A programming concept about finding results based on some kind of search. Typically used when talking about regular expressions.
kafka-producer-api,"Use for questions related to the Apache Kafka producer API. Any question related to producing into Kafka topics. Producer failures and recover, idempotency, and transactional API.

"
onesignal,OneSignal is mobile and web push notification and SMS/email messaging service and API. Developers and marketers use OneSignal to deliver and track targeted transactional and promotional messages to their customers. 
android-volley,Volley is a Google library for Android that makes networking and remote image loading easier and faster.
apollo,"Apollo is a GraphQL client and cache for JavaScript, iOS (Swift) and Android."
temp-tables,"Temporary tables are a feature of RDBMS&#39;s as a means of storing intermediate results. Some RDBMS&#39;s make the distinction between local and global temporary tables. Temporary tables are typically dropped when the session ends for local, or when the temporary table is no longer referenced for global. Note that a temporary table is not the same as a table variable even though both are temporary in nature."
marklogic,"MarkLogic Server is a multi-model database. Classified as a NoSQL database, MarkLogic stores, manages, and provides built-in search for JSON and XML documents and semantic data (RDF triples). Users can also create relational views on top of the document model—all with a unified, consistent back-end. "
screen-scraping,"Screen-scraping, also known as web-scraping or data-scraping, is a software technique used to collect and parse information from user interfaces. If your question is specifically about scraping from websites or web-APIs, please use the [web-scraping] tag instead."
avx,Advanced Vector Extensions (AVX) is an extension to the x86 instruction set architecture for microprocessors from Intel and AMD.
permalinks,"A permalink, or permanent link, is a URL that points to a specific blog or forum entry after it has passed from the front page to the archives."
vmware,"QUESTIONS ABOUT SERVER ADMINISTRATION ARE OFF-TOPIC. General VMWare questions may be asked on superuser.com or serverfault.com. VMware is a brand of virtual machine software that provides a virtualized set of hardware to the guest operating system.
"
visual-studio-code,"Visual Studio Code is a text editor available for Linux, Mac, and Windows. You can also use this tag for unofficial binaries of the portion of the code that is open source (such as VSCodium) as well. It includes support for debugging, embedded Git control, various extensions and rich development experiences such as intelligent code completion. It is mainly developed by Microsoft, and built on Electron like GitHub&#39;s Atom."
oracle,"Oracle Database is a Multi-Model Database Management System created by Oracle Corporation. Do NOT use this tag for other products owned by Oracle, such as Java and MySQL."
composer-php,Composer is an application-level package manager for the PHP programming language. It provides a standard format for managing with ease PHP-based project dependencies (libraries) and was strongly inspired by Node.js&#39;s &quot;npm&quot; and Ruby&#39;s &quot;bundler&quot;. Use with the [php] tag
concatenation,Joining of two or more sequences into a single sequence.
webpage,A web page or webpage is a document or information resource that is accessible via the Internet or a local file that can be accessed through a web browser and displayed on a monitor or mobile device.
swift4,"Use this tag only for questions directly related to changes in version 4 of Apple&#39;s Swift programming language. Use the tag [swift] for more general language questions, or the tags [ios], [cocoa], [apple-watch] etc. for questions about developing on Apple platforms."
c++builder,"Embarcadero C++Builder is a RAD C++ environment (compiler system &amp; IDE) and component framework for Windows, OS X, iOS and Android."
jsonb,"Binary version of the json data type, used in Postgres 9.4+. The major practical difference is efficiency."
google-api-java-client,"The Google APIs Client Library for Java is a flexible, efficient, and powerful Java client library for accessing any HTTP-based API on the web, not just Google APIs. "
fedora,"Fedora is an RPM-based, general purpose collection of software, including an operating system based on the Linux kernel, developed by the community-supported Fedora Project and sponsored by Red Hat."
javadoc,Javadoc is an extensible documentation generation system which reads specially formatted comments in Java source code and generates compiled documentation.  It is typically used to produce API documentation in the form of HTML web pages.
filtering,In signal processing the complete or partial suppression of some aspect of the signal. Or selecting a subset of some set of data.
flask-restful,"Flask-RESTful provides an extension to Flask for building REST APIs. Flask-RESTful was initially developed as an internal project at Twilio, built to power their public and internal APIs."
talend,"Talend is an open source integration vendor that provides software for data integration, data quality, master data management, big data, business process management and service-oriented architecture. 
"
swashbuckle,Swashbuckle is an open source framework which adds Swagger and Swagger-ui to ASP.NET Web API projects.
fopen,"fopen opens a file resource, in order to read, write or append content to it."
prototype,"In prototype-based languages, the prototype of an object is a set of properties which is inherited by all objects which are based on this object. Not to be confused with [function-prototype], [prototype-js], [prototype-pattern], [prototype-scope] or [prototypejs]; see the full info for details."
upgrade,This tag refers to the process of replacing a particular system with a newer version of the same system
smartcontracts,"Smart contracts also known as a smart property are computer protocols that facilitate, verify, or enforce the negotiation or performance of a contract, or that make a contractual clause unnecessary."
xslt-2.0,Use this tag for questions specific to XSL Transformations version 2.0 and no other version.
azure-pipelines,"Azure Pipelines provides build services (CI), that are free for open source projects and available in the GitHub marketplace. Azure Pipelines also provides release management for continuous delivery (CD) to any cloud and on-premises servers. With Azure Pipelines, you’ll be able to continuously build, test and deploy to any platform and cloud. **Do not** use this tag for Azure Data Factory pipeline questions."
shipping,Shipping is transportation of goods by sea or some other means. Use this tag for problems in API or program related to shipping. 
dynamics-ax-2012,"Microsoft Dynamics AX is one of Microsoft’s Enterprise Resource Planning software products. It is part of the Microsoft Dynamics family.

The early versions (from 1.0 to 3.0) were called Axapta, while the later versions (from 3.0 SP6 to AX 2012) are called Dynamics AX."
connection-pooling,"In software engineering, a connection pool is a cache of connections maintained so that the connections can be reused when future requests to the resource are required."
timepicker,"A view for selecting the time of day, in either 24 hour or AM/PM mode. "
backup,"The act of saving one&#39;s files, data, applications, etc. to secondary media, allowing for the recovery of the files, data, applications, etc. in the event that the primary media becomes unavailable (fails). Also the secondary media used for storage."
seaborn,Seaborn is a Python data visualization library based on matplotlib. It provides a high-level interface for drawing attractive and informative statistical graphics. Add the seaborn-0.12.x tag for questions about seaborn.objects.
stdmap,"std::map is a class in the C++ Standard Library. It is a sorted associative container that contains key-value pairs with unique keys. Search, removal, and insertion operations have logarithmic complexity. Maps are usually implemented as red-black trees."
tableau-api,"For software development questions related to the use of developer API for Tableau Software, a family of interactive data visualization products"
solrj,"Solrj is a java client to access solr. It offers a java interface to add, update, and query the solr index. SolrJ hides a lot of the details of connecting to Solr and allows your application to interact with Solr with simple high-level methods."
wait,"In programming, &#39;wait&#39; refers to the act of pausing the execution of a program until a specific condition is met or a given amount of time has passed."
hdf5,The Hierarchical Data Format (HDF5) is a binary file format designed to store large amount of numerical data.
bundle,Bundles are a group of resources. 
iis-7.5,IIS (Internet Information Services) Version 7.5 – is a web server application and a set of feature extension modules created by Microsoft for use with Microsoft Windows. Released with Windows Server 2008 R2 and Windows 7.
flask,Flask is a lightweight framework for developing web applications using Python.
comparator,A Common interface to create an object that specifies the way of comparing other objects. When using this tag on implementation heavy questions - tag the code language the implementation is written in.
string-matching,"String matching is the problem of finding occurrences of one string (“pattern”, “needle”) in another (“text”, “haystack”)."
stm32,"The STM32 is a family of microcontrollers from ST Microelectronics, based on the Cortex M0, M0+, M3, M4, or M7 ARM core (depending on the product line)."
nagios,"Nagios (now known as Nagios Core) is a open source monitoring solution. It offers monitoring and alerting services for servers, switches, applications and services. "
boto3,Boto 3 - The Amazon Web Services (AWS) SDK for Python
communication,Communication is the activity of conveying information.
app-engine-ndb,"NDB is a better datastore API for the Google App Engine Python runtime. It provides an improved interface over ext.db, and includes support for parallel processing with coroutines."
scanf,"Questions related to the scanf() family of functions in the C runtime library, which read and convert formatted data. (Includes scanf(), sscanf(), fscanf(), and their variadic equivalents.)"
space,"DO NOT USE THIS TAG! It is too ambiguous; instead please use a more specific tag like letter-spacing (separation between letters), whitespace (between words), margin (areas of a screen), layout or a platform/language-specific tag (for non-web layouts), etc."
htmlunit,HtmlUnit is a &quot;headless browser&quot;. Which means that there is no browser GUI and it does no rendering. Though it has a CSS and JS engine to simulate a real browser. Primary purpose is testing and information extraction.
orientation,"Orientation is the way up, down, left or right something is facing or being held in. Typically, you distinguish between Portrait (or Vertical) and Landscape (or Horizontal) orientations."
paint,The act of displaying a GUI component on a screen output device
selection,"The selection can refer to text that has been highlighted, or it can refer to a choice made in UI elements that require one, e.g. a particular option in an HTML `select`.

Selection is also the stage of a genetic algorithm in which individual genomes are chosen from a population for later breeding."
pdf-generation,PDF generation is the process of creating a PDF document using various tools or libraries.
purrr,"purrr enhances R’s functional programming toolkit by providing a complete and consistent set of tools for working with functions and vectors, such as map() and reduce()."
android,"Android is Google&#39;s mobile operating system, used for programming or developing digital devices (Smartphones, Tablets, Automobiles, TVs, Wear, Glass, IoT). For topics related to Android, use Android-specific tags such as android-intent, android-activity, android-adapter, etc. For questions other than development or programming but related to the Android framework, use this link: https://android.stackexchange.com."
playframework-2.2,"Play is based on a lightweight, stateless, web-friendly architecture and features predictable and minimal resource consumption (CPU, memory, threads) for highly-scalable applications."
priority-queue,"A priority queue is a regular queue or stack data structure, but where additionally each element has a &quot;priority&quot; associated with it."
directshow,"The Microsoft DirectShow application programming interface (API) is a media-streaming architecture for Microsoft Windows. Using DirectShow, your applications can perform high-quality video and audio playback or capture."
powershell-4.0,"For topics and problems related specifically to Windows PowerShell 4.0.  PowerShell 4.0 shipped with the releases of with Windows 8.1 and Windows 2012 R2.  It is available as a download for Windows 7 SP1.

For general PowerShell topics, use the `PowerShell` tag."
android-ndk,"The Android Native Development Kit (NDK) is a companion tool to the Android SDK that lets build performance-critical portions of apps in native code or port existing libraries in C/C++ to Android. It provides headers and libraries that allows to build activities, handle user input, use hardware sensors, access application resources, and more, when programming in C/C++."
flash,"For questions on Adobe&#39;s discontinued cross-platform multimedia runtime used to embed animations, video, and interactive applications into web pages. For questions related to memory, use the tag [flash-memory]."
grafana,"Grafana is an open-source web application for visualizing time-series databases (InfluxDB, Graphite, Prometheus, OpenTSDB), logging &amp; document databases (Loki, Elasticsearch, Splunk, MongoDB), SQL databases (MySQL, PostgreSQL, Redshift), cloud metric databases (AWS CloudWatch, GCP Monitoring, Azure Monitor) and other datasources."
magento-1.7,"Magento 1.7 is a version of the Magento eCommerce platform that was released April 24th 2012. It has had two minor revisions since, with the most recent version being 1.7.0.2 which was released July 5th 2012."
kql,"Kusto Query Language (KQL). Use this tag with any questions or advice of operator, complicated query, performance challenges or missing capabilities. KQL is a read-only request to process data and return results. The request is stated in plain text, using a data-flow model designed to make the syntax easy, author and automate. The query uses schema entities that are organized in a hierarchy similar to SQL&#39;s: databases, tables, and columns. "
timespan,"An elapsed measurement of time between two events or during which an event, program or a function continues.  Also known as a timedelta or a duration."
fs,File I/O in the Node.js Javascript platform
publishing,"Releasing software to users. This may include releasing compiled binaries on a hardware medium, for download, or permitting access to a non-development web service."
logistic-regression,Logistic regression is a statistical classification model used for making categorical predictions.
linear-gradients,A linear gradient is a field of color which smoothly changes from one color to another (or more than two).
pjsip,"Open source implementation of necessary VoIP protocols SIP, RTP, NAT Traversal suitable for desktop and smartphones. Dual-licensed under GPL and proprietary."
jframe,A JFrame is a component and top-level container of the JFC/Swing framework.
less,"Less is an open-source stylesheet preprocessor that extends CSS with dynamic behavior such as variables, mixins, operations and functions. For the UNIX command, use [less-unix]."
rvm,"RVM (Ruby Version Manager) is a command line tool which allows users to install, manage and work with multiple Ruby environments from interpreters to sets of gems easily in the various Unix-like systems (such as Linux and Mac OS X)."
tablelayout,Table Layout is a common presentation design that places components into rows and columns.
frameworks,A framework is an existing library or set of libraries that provides overarching application structure so that the developer can focus primarily on their application&#39;s implementation details instead. In most cases the tag for a specific framework should be used instead of this tag.
vcl,"This tag is used for questions regarding the Visual Component Library used in Borland/CodeGear/Embarcadero Delphi and C++Builder products.

Do not confuse this with the Varnish Configuration Language (VCL).  Use the &quot;varnish-vcl&quot; tag for questions related to that product."
pinvoke,P/Invoke is an implementation specification created by Microsoft of the Common Language Infrastructure (CLI) for invocation of native code libraries from managed code.
jmx,Java Management eXtensions is a standard Java API that enables the instrumentation and monitoring of a running Java program.
ipython,"IPython is a feature-rich interactive shell for Python, and provides a kernel for frontends such as IPython Notebook and Jupyter Notebook."
uiviewcontroller,"The UIViewController class manages the views in iOS apps and mediates the interaction between an app&#39;s views, its underlying model objects, and the overall workflow."
uitextfield,"A UITextField object is a control that displays editable text and sends an action message to a target object when the user presses the return button. You typically use this class to gather small amounts of text from the user and perform some immediate action, such as a search operation, based on that text. "
sms,"Short Message Service (SMS) is the standardized text communication service component of phone, web or mobile communication systems that allow the exchange of short text messages between fixed line or mobile phone devices."
msmq,Microsoft Message Queuing (MSMQ) is a message queuing implementation developed by Microsoft and deployed as part of its Windows platform since 1996. MSMQ is included on most versions of Windows but it&#39;s not installed by default.
base64,Base64 is a set of encoding schemes that represent binary data in an ASCII string format.
cabal,Cabal is a package distribution and build system for the Haskell programming language.
sharedpreferences,SharedPreferences allows you to save and retrieve persistent key-value pairs of primitive data types in Android applications. It can be used either inside a single app or shared between multiple apps.
mkannotation,"An Apple protocol, for model object representing a point on a map view"
charts,"Charts are a graphical representation of data, most often in the format of a graph or diagram.

Use this tag for questions about using a charting library API."
teradata,"Teradata is a Relational Database Management System (RDBMS), capable of supporting many concurrent users from various client platforms. Teradata is compatible with the ANSI standard and built completely on parallel architecture. "
tabs,"A user interface pattern that allows for the display of multiple pages or elements with a navigation reference above, below, or to the side of the content.  On clicking the navigation reference, one element is made visible while others are toggled off.  Often, the navigation reference is color-coded in a manner to indicate that it is currently visible."
image-manipulation,"Image manipulation is the term used to describe various operations applied to images such as resizing, removing noise, or alteration of colour depth."
intellij-idea,"IntelliJ IDEA is an IDE by JetBrains. It primarily supports Java development, but also supports JavaScript, Groovy, HTML, CSS, RSS, R, Haskell, PHP, Ruby, Python, Scala, Swift, Clojure, Kotlin, Hybris, Gradle and others. Questions specifically concerning usage and problems in both Community and Ultimate Editions should use this tag. However, if you have a problem with something else and just happen to be using IntelliJ, please don&#39;t use this tag."
context-free-grammar,"In formal language theory, a context-free grammar (CFG) is a grammar subject to a special constraint: that the left-hand side (LHS) consist of a single non-terminal symbol. CFGs are capable of representing the set of context-free languages (CFLs)."
interface-builder,Interface Builder is a visual design tool used to create user interfaces for Apple&#39;s macOS and iOS platforms.
android-alertdialog,"A subclass of Dialog that can display one, two or three buttons. If you only want to display a String in this dialog box, use the setMessage() method."
google-api-client,**[DO NOT USE THIS TAG]** Please use the language specifying tag for your question instead of this tag.
dotnet-httpclient,"Refers to the System.Net.Http.HttpClient library which is part of the HttpClient package on NuGet, or the .NET 4.5 library."
script,"DON&#39;T USE THIS TAG!
Every SO question is about scripts one way or another.
Use appropriate tags like [bash], [javascript], [google-apps-script] or [python] instead. Your question might not be visible to potential answerers, if you don&#39;t use a specific tag.
"
signalr-hub,Hubs provide a higher level RPC framework over a PersistentConnection. If you have different types of messages that you want to send between server and client then hubs is recommended so you don&#39;t have to do your own dispatching.
barcode,"This tag should be used for questions on how to generate, decode, or use barcodes in programs."
google-play,"Google Play is an integrated destination for apps, books, movies, games, and music, accessible to users on Android devices and to anyone on the Web. (Note: Support questions regarding the Google Play and/or Google Play Console should be asked in the relevant support forums or by contacting support)."
rspec-rails,rspec-rails is an extension of the RSpec testing framework that provides support for testing Ruby on Rails applications.
completable-future,"In Java 8, a Future that may be explicitly completed (setting its value and status), and may include dependent functions and actions that trigger upon its completion.
"
power-automate,"Microsoft Power Automate (formerly Microsoft Flow) is a business workflow automation tool. Use this tag for questions about issues or questions regarding building/designing Power Automate workflows, configuring them to work with additional applications in the MS Power suite, or with other MS products like Office or SharePoint. DO NOT use this tag for questions about license issues with Power Automate"
synchronous,Synchronous means that the caller of a function waits for the response or completion of the function before returning control to the main program
osx-elcapitan,Twelfth major release of OS X (10.11)
visual-studio-2017,"Visual Studio 2017 (aka Visual Studio &quot;15&quot;, includes C++ compiler version 19.1) is a version of Microsoft&#39;s Visual Studio. Do not use this tag unless you have a specific question about this specific version."
fancybox-2,Version 2.0 of the &#39;fancybox&#39; tool. It is a completely rewritten plugin with new features and updated graphics.
wildfly,"WildFly, formerly known as JBoss Application Server, is an open source (LGPL) application server, developed by Redhat, that implements the latest enterprise Java standards."
nswindow,an apple class that defines objects that manage and coordinate the windows an application displays on the screen
multi-touch,multi-touch refers to a touch sensing surface&#39;s (trackpad or touchscreen) ability to recognize the presence of two or more points of contact with the surface (Wikipedia)
32bit-64bit,Issues related to the use of a 64-bit vs a 32-bit architecture including portability issues.
loading,Loading refers to retrieving necessary information for display or functionality.
mpi,"MPI is the Message Passing Interface, a library for distributed memory parallel programming and the de facto standard method for using distributed memory clusters for high-performance technical computing.  Questions about using MPI for parallel programming go under this tag; questions on, eg, installation problems with MPI implementations are best tagged with the appropriate implementation-specific tag, eg MPICH or OpenMPI."
contacts,"Related to accessing contacts (CRUD, operations on contacts like messaging) from contact-list or address book in mails, android, iphone, windows-phone or facebook."
depth-first-search,"Depth-first search (DFS) is an algorithm for traversing or searching a tree, tree structure, or graph. One starts at the root (selecting some node as the root in the graph case) and explores as far as possible along each branch before backtracking."
django-channels,Should be used for the django-channels project that brings asynchrony (WebSockets and HTTP2) to django.
autocomplete,"Autocomplete is a UI feature provided by applications, where the program predicts a word or phrase that the user wants to type without the user actually typing it completely."
saxon,"Saxon is an implementation of XSLT, XQuery, XPath, and XSD. In supports the latest W3C standards including XSLT 3.0, XQuery 3.1, XPath 3.1, and XSD 1.1. There are versions for Java, .NET, and C, in both open source and commercial editions. The latest addition to the product set is Saxon-JS, an XSLT runtime which will run in most browsers."
create-react-app,"create-react-app is a starter-kit for creating React applications with no build configuration. If you’re getting started with React, use this to automate the build of your application. There isn&#39;t any configuration file, and react-scripts is the only extra build dependency in your package.json file. Your environment will have everything you need to build a modern React application."
websocket,"WebSocket is an API built on top of TCP sockets and a protocol for bi-directional, full-duplex communication between client and server without HTTP overhead."
qwidget,QWidget is key part of the Qt C++ classes. QWidget is the base class of all the user interface elements in the Qt framework.
imagemagick,"ImageMagick is an open source software suite for displaying, converting and editing raster image files."
clickhouse,ClickHouse is an open-source column-oriented DBMS for real time analytical reporting which has Capability to store and process petabytes of data.
promise,"Promises are a tactic for deferred computing, suitable for several styles of concurrency: thread and event loop concurrency for local computation, and both synchronous and asynchronous remote messaging. A promise represents the eventual result of an asynchronous operation. The primary way of working with promises is through a method which registers transformations from the promise&#39;s eventual value or failure reason to a new promise."
quill,Quill is a cross-browser rich text editor. It features a complete API allowing granular access and manipulation to the editor and its contents.
web-crawler,"A Web crawler (also known as Web spider) is a computer program that browses the World Wide Web in a methodical, automated manner or in an orderly fashion. Other terms for Web crawlers are ants, automatic indexers, bots, Web spiders, Web robots, or – especially in the FOAF community – Web scutters."
wpf-controls,"WPF controls include UserControls, which are composite collections of other controls, and CustomControls, which are controls built with WPF styles and templates."
vb.net-2010,The version of Visual Basic .NET used in Visual Studio/Visual Basic 2010. Use VB.NET and Visual Studio 2010 tags instead unless the question is specifically about language features added in VB.NET 2010.
postman,"Postman is a toolchain for API developers to share, test, document and monitor APIs."
vertica,Vertica is an MPP column-store analytics database that runs on clusters of Linux servers or in the cloud.  The original configuration (Enterprise mode) distributes data and query execution among nodes (typically with duplication).  A newer configuration (Eon mode) separates compute from storage and relies on S3 for storage.
idioms,"A programming idiom is the usual and customary way to write code in a particular language. Idioms are highly recognizable ways of overcoming a particular limitation and/or writing commonly-used code, sometimes with a purpose that is separate from the literal meaning of the code. An idiom can also be the standard way of implementing something when there are multiple ways to do it."
cocos2d-x,"C++ cross-platform version of Cocos2D, an open-source mobile 2D game framework."
contextmenu,"A context menu is a menu in a graphical user interface that appears upon user interaction, such as a right mouse click or middle click mouse operation."
quartz-scheduler,"Quartz Scheduler is a Java-based open-source job scheduling service.  
NOTE: this tag is about the Java framework. For .NET questions please use [quartz.net] instead. For Clojure questions please use [quartzite] unless you&#39;re directly interoping with the Java library."
query-string,"The part of a URL after the ? (question mark), containing parameter=value pairs separated by &amp; (ampersand). In a request made to a web application at a particular URL, the parameter+value data in the query string is parsed/consumed by the web application on the backend that receives the request."
reportlab,A library for generating PDF in Python.
static-members,"A static member is a data field that is shared by all instances of a class or structure for the same program. Static member exists even when no objects of the static data member&#39;s class exist. A feature of C++, roughly equivalent to Java static fields."
date-format,`DateFormat` is a Java Standard Edition library class which provides utility methods to parse and format dates.
fileoutputstream,FileOutputStream is a Java class used to write bytes directly to a File or to a FileDescriptor. 
derived-class,"In Object Oriented languages, derived class can inherit properties and/or member functions from a base class, also called super class. cf inheritance and polymorphism."
tabcontrol,A tab control is a control in graphical user interface which contains multiple tab items that share the same space on the screen.
avcapturesession,"iPhone - To perform a real-time or offline capture, you instantiate an AVCaptureSession object and add appropriate inputs (such as AVCaptureDeviceInput), and outputs (such as AVCaptureMovieFileOutput). "
infopath,InfoPath is a component of the Microsoft Office Suite of applications that allows for the creation of XML based form templates and the collection of structured data.
c-preprocessor,"A textual macro processor applied before compiling C and C++ language programs.
This tag can also be used for questions about other compilers/languages derived from or that have identical features, such as the #directives in Objective-C or C#."
angular,"Questions about Angular (not to be confused with AngularJS), the web framework from Google. Use this tag for Angular questions which are not specific to an individual version. For the older AngularJS (1.x) web framework, use the AngularJS tag."
event-log,An event log is a file used to record a timeline of events along with contextual metadata 
redmine,"Redmine is a flexible project management web application. Written using the Ruby on Rails framework, it is cross-platform and cross-database."
db2,"DB2 is a family of database servers developed by IBM. Supported platforms for DB2 servers are z/OS (formerly OS/390), Linux, UNIX, and Windows (referred to collectively as DB2 for LUW), and IBM i (formerly OS/400 or i5/OS). Originally designed as a relational engine, IBM has expanded DB2&#39;s capabilities on some platforms to include native XML support and an RDF-compliant graph store. When posting DB2 questions, please specify the platform and version."
cx-oracle,cx_Oracle is a Python extension module that allows access to Oracle databases and conforms to the Python database API specification.
bundling-and-minification,Bundling and minification are used to optimize web content by reducing the number of requests to the server and as well as the size of requested assets (such as CSS and JavaScript).
gradient,"Specifies a range of position-dependent colors, usually used to fill a region."
mod-rewrite,"URL rewriting module for the Apache web server. It is commonly used for so-called `pretty URLs` , but also provides the power and flexibility to perform various request handling tasks beyond simple substitutions."
t4,T4 stands for Text Template Transformation Toolkit and is Microsoft&#39;s free and open-source template-based text generation framework included with Visual Studio.
ionic,
raku,For questions relating to the Raku programming language (formerly known as Perl 6).
subtraction,Subtraction is a mathematical operation that represents the removal of an object from a collection.
aiohttp,Use this tag for questions about AIOHTTP – a client/server framework for asyncio Python.
correlation,For questions regarding interdependence of variable quantities.
openssh,OpenSSH is the most widespread and de-facto standard implementation of SSH protocol. Both server and client tools are included.
r-caret,"caret is an R package for classification and regression training. It provides a standardized interface to several of R&#39;s machine learning packages, along with utilities for training and plotting."
angularjs-scope,"In AngularJS, a scope is an object that refers to the application model. It is an execution context for expressions."
scrollviewer,A scroll viewer is a user interface construct that provides a scrolling area to any control(or hierarchy of controls) that is placed within it.
projects-and-solutions,"Some IDEs organize code and resources into projects and solutions, usually in a directory-based hierarchy. This can also be done manually."
random-forest,"In learning algorithms and statistical classification, a random forest is an ensemble classifier that consists in many decision trees. It outputs the class that is the mode of the classes output by individual trees, in other words, the class with the highest frequency. "
google-maps-markers,"Markers identify locations on the map. By default, they use a standard icon, though you can set a custom icon. Markers are designed to be interactive and are often used within event listeners to bring up info windows."
tcl,"Tool Command Language was invented by John Ousterhout as a way to make it easy to write little languages for configuring EDA tools, but it has grown far beyond those humble beginnings to become a general scripting language with built-in asynchronous I/O and Unicode strings while supporting paradigms such as object-oriented programming and coroutines."
shutil,"A Python module which contains a number of utility methods for file or directory operations, such as copying, moving, etc."
parallax,"An effect that causes the position or direction of an object to appear to change when viewed from different positions, e.g., through the viewfinder and the lens of a camera"
linq-to-sql,"This tag is NOT ABOUT LINQ TO SQL TRANSLATION! Linq to SQL is an old ORM that&#39;s part of .Net framework, not core. For questions about LINQ to SQL translation please use the tag of the ORM in question."
aws-codebuild,Describes Amazon Web Services CodeBuild questions and answers. Scope should be limited to AWS CodeBuild.
angular-cli,"The Angular CLI is a command line interface for building, managing and deploying Angular (version 2+) applications."
jsx,"For questions about the JSX syntax used by React.js, Vue, and other front-end JavaScript frameworks that allows inline XML literals to be used in JavaScript to describe HTML elements. If your question is about Adobe&#39;s extended implementation of JavaScript (ExtendScript) which is at least five years older than React.js, use the [ExtendScript] tag instead."
optimization,"Optimization is the act of improving a method or design. In programming, optimization usually takes the form of increasing the speed of an algorithm, or reducing the resources it requires. Another meaning of optimization is numerical optimization algorithms used in machine learning."
implicit-conversion,"Converting an object, variable or value from one type to another to satisfy a type restriction, without specifically requesting that conversion through language syntax.  "
ibeacon,"iBeacons are Bluetooth Low Energy (BLE, also known as Bluetooth Smart) transmitters that notify nearby receivers, such as a smart phone, of their presence for the purposes of proximity sensing. A unique identifier allows the the receiver to take specific action such as displaying a notification message or configuring itself to use a smart device such as a lamp, smart-switch or other sensor."
cil,"Common Intermediate Language is the object-oriented assembly language used by the .NET Framework, .NET Core, and Mono. .NET languages compile to CIL, which is assembled into an object code that has a bytecode-style format."
character-encoding,Character encoding refers to the way characters are represented as a series of bytes. Character encoding for the Web is defined in the Encoding Standard.
qt-creator,Qt Creator is a comprehensive open source C++ IDE which is part of the Qt Project. 
three.js,"Three.js is a lightweight cross-browser JavaScript library/API used to create and display animated 3D computer graphics on a Web browser. Three.js scripts may be used in conjunction with the HTML5 canvas element, SVG or WebGL. "
int,"A data type that represents an integer. An integer is a whole number that can be negative, positive, or zero. (i.e. ...-2, -1, 0, 1, 2...) Use this tag for questions about using, storing, or manipulating integers. "
differential-equations,An equation that relates some unknown function itself and its derivatives of various orders. 
hbase,"HBase is the Hadoop database (columnar). Use it when you need random, real time read/write access to your Big Data. This project&#39;s goal is the hosting of very large tables -- billions of rows X millions of columns -- atop clusters of commodity hardware. "
pipe,"A pipe is an interprocess connection between file descriptors of two processes. A pipe is created with the POSIX pipe() function (from &lt;unistd.h&gt;).  Shells create pipes between processes if the &quot;|&quot; symbol is used: &quot;cmd1 | cmd2&quot; directs the output of cmd1 to the input of cmd2.

On Windows use CreatePipe(). This mechanism redirects standard input, standard output, and standard error into the calling process in .NET and Java."
cpanel,Only PROGRAMMING related questions are on-topic. General configuration questions are off-topic. cPanel is a graphical control panel for configuring some Linux-based web hosting.
dbpedia,"DBpedia is a community project focused on transforming Wikipedia content in structured data represented using RDF Language statements. In addition to Wikipedia content transformation, it also publishes said content into the World Wide Web, as Linked Open Data, by adhering Linked Data principles. If you are completely new to SPARQL, please consider to ask your question on opendata.stackexchange.com."
mouseevent,"A general tag for user-interface events that are generated by the mouse. This includes pressing/releasing a button, clicking (including double/triple-clicks), moving, dragging, etc."
firemonkey,"FireMonkey(tm) is the cross-platform GUI framework developed by Embarcadero Technologies, a part of Idera Inc. and is a part of the RAD Studio development tool."
